stop,pagerank
Chikkakammanahalli,0.0005628651950617818
Vinayaka Nagara,0.0005620761985646521
Depot 9,0.0005589963279160539
Arekere lakshmi Layout,0.0005576958878108412
Jalahalli Village,0.0005576791428126954
Marappa Garden,0.0005573483998878788
Kammasandra,0.0005553062257059226
Jalavayu Vihara,0.0005510349732681801
IAF,0.0005507047073087688
TATA ELEXI LIMITED,0.0005482986641871887
KM SCHOOL,0.0005466188080310806
Mind Tree,0.0005462793028091622
Devarachikkanahalli,0.000545460026848376
Jayanagara 4th Block,0.0005444584264412628
Basvanagara Bus Station,0.0005438090757131295
Thammenahalli,0.0005359318847212026
Halasur,0.0005355122971673114
HSR BDA COMPLEX,0.0005335146512958971
Dasanapura,0.0005326848269911884
Parangipalya,0.0005323288304004128
Nerige,0.0005316943426804533
Depot-25-BS,0.0005303413537539379
Tata Nagara,0.0005271427781513266
Padmanabha Nagara Rock,0.0005270018719672001
Babusab Palya,0.000525596747906847
Kenchanapura Cross,0.0005246322318361447
Brigade Road,0.0005225763260511586
Bidadi Bus Stand,0.0005224213088235196
Bhuvaneshwari Nagara,0.000520024429894808
MEI Layout,0.0005198532625373168
Nrupatunga Nagar,0.0005189276266673667
Madiwala MARKET,0.0005172023459286375
Geddala Halli,0.0005166978322025608
Sadhashivanagar,0.0005166015174912809
BMTC Depot-17,0.0005152731953353786
Poornapragna Layout,0.0005130689610068462
GKVK,0.000510852439313766
Magadi Road TollGate,0.0005108438751937531
Bettana Palya,0.0005101756063312934
Maratahalli,0.0005022411472978984
BEL FACTORY,0.0005019106816397879
Kanasawadi Madhure Temple,0.0005014723478234286
Bommanahalli,0.0005006662873554974
Ramasandra,0.0004966115111005893
Chowdeshwari Bus Stop,0.0004964843184462493
St John Wood Apartments,0.0004962817212969094
Kakolu,0.0004957126288131243
Indian Express,0.0004896965336059717
Bharathnagar 2nd Stage,0.0004891362632907122
Nallur,0.0004871489301812254
Mantanakurchi,0.00048692352224324843
Hunnigere,0.00048692352224324843
Kodi Chikkanahalli,0.00048692352224324843
Arehalli,0.00048692352224324843
Madiwala,0.00048678464161268007
Kempaiahanapalya,0.0004855942121054789
Muthkur Hesaraghatta,0.00048497998747040543
Depot-33,0.00048452589473686747
Banaswadi,0.00048173746999416217
Haralur,0.00048173746999416217
KRS Gowda Layout,0.00048173746999416217
Gollahalli,0.00048173746999416217
Kadugodi Bapuji circle,0.00048173746999416217
Gundanjaneya Swamy Temple,0.0004809116419413938
DEPOT-25 HSR Layout,0.00047821346027592296
Malleshwaram Bus Station,0.0004779023887529569
Kengeri Police Station,0.0004777501248861495
Agrahara Layout,0.0004765514177450758
Nosenoor,0.00047603680519400435
Varthuru,0.000475293604594012
Nagavara,0.00047210456677195054
YELAHANKA,0.00047189856911798126
Beereshwaralayout,0.0004715308051693928
BMTC Depot-12 Gate Kengeri,0.00047058245451707967
Bandi Reddy Circle,0.00046987720464321454
White Field Post Office,0.0004690685201750518
Thippuru,0.00046903701624387425
DEPOT-28,0.00046770644544741867
Baiyappanahalli Satellite Bus Station,0.00046748418939121354
Cauvery Nagar,0.00046718864441398203
Sai Baba Hospital,0.00046718864441398203
BEL Office,0.00046600608291354185
Nagarabhavi 2nd Phase 11th Block,0.000465110184590162
Karnataka High Court,0.00046501822847367464
JPNagar B K Circle,0.00046362509818407584
HSR BDA Complex,0.00046218283144607193
Nagaresha Nagenahalli Dinne,0.00046200259216489566
Depot-32,0.0004608880807097427
Aluru,0.00046074075173979537
Hennur Cross,0.0004607364303014812
Dayananda Sagar College,0.00045872859045858723
Muthsandra,0.0004584366553438392
Manorayana Palya,0.0004580963699803391
Thambuchetty Palya,0.0004577431851461849
Gun Troops Officer Colony,0.00045742581380844437
BHEL Layout Maramma Temple,0.0004568165399158094
KNarayanapura,0.00045624287315459153
Kumarans School Mallasandra,0.00045575615024177354
Yelahanka Satelite Town 4th Phase,0.00045557821040439106
Munnekolalu,0.00045497403683547285
Jai Bhuvaneshwari Nagara,0.00045374795964834593
Sarjapura,0.0004528209335846016
